clinic,city,address,phone,website,rating,reviews,status
"Geir Olav Klette","Sandnes","Industrigata 8, 4307 Sandnes","51 66 46 13","","","","new"
"Tannlege Fahri M Demirbas AS","Sandnes","Holbergs gt. 22, 4306 Sandnes","48 04 46 70","https://tannlegefahri.no/","","","new"
"Tannlege Avan Bamerni","Sandnes","Holbergs gt. 22, 4306 Sandnes","48 04 46 70","","5","3","new"
"Sigmund Rønneberg","Sandnes","Nikkelveien 20, 4313 Sandnes","51 67 76 25","https://tannlegeronneberg.no/","5","1","new"
"Marit O Meling","Sandnes","Asheimveien 2, 4318 Sandnes","51 97 27 37","","3.5","2","new"
"Tannlegene Meling & Gjersem","Sandnes","Asheimveien 2, 4318 Sandnes","51 97 27 37","","3.5","2","new"
"Tannlege Martin Kretschmar","Sandnes","Storgata 43, 4307 Sandnes","51 68 14 00","","","","new"
"Tannlege May Brit Høyvik","Sandnes","Storasteinen 18 H, 4318 Sandnes","","","","","new"
"Tannlege Jan Skram Ellingsen","Sandnes","Industrigata 1, 4307 Sandnes","51 66 28 03","","","","new"
"Tannlege Guttorm Haug","Sandnes","Jærveien 84, 4319 Sandnes","","","","","new"
"Dental Pluss AS","Sandnes","c/o, Fredrik Stangs gate 21A, 4317 Sandnes","94 83 68 00","https://dentalpluss.no/","","","new"
"Jan Helge Brandsdal","Sandnes","Vølstadveien 20, 4316 Sandnes","51 62 49 96","","","","new"
"Tannlegespesialistene AS","Tromsø","Strandskillet 5b, 9008 Tromsø","77 28 01 00","http://www.tannlegespesialistene.no/","5","5","new"
"Tannbygget","Tromsø","Institutt for klinisk odontologi, Hansine Hansens veg 86, 9019 Tromsø","","","4.5","10","new"
"Tannlege Ranghild Hesla Breie AS","Tromsø","Grønnegata 137, 9008 Tromsø","97 53 33 70","","5","1","new"
"Tannlege Urd Lilleng AS","Tromsø","Vestregata 42, 9008 Tromsø","97 77 41 40","","5","1","new"
"Tannlege Kristin Camilla Olsen","Tromsø","Vestregata 42, 9008 Tromsø","77 68 49 31","","5","2","new"
"Tannlege Kjærstad","Tromsø","Grønnegata 86-88, 9008 Tromsø","77 68 31 88","http://tannlegekjaerstad.no/","5","9","new"
"Tannklinikk1 AS","Tromsø","Tannklinikk1 AS, Evjenvegen 108, 2. etg, 9024 Tomasjord","77 61 08 02","http://tannklinikk1.com/","4.3","28","new"
"Tannlege Hans Are Ovanger","Tromsø","Strandskillet 5, 9008 Tromsø","93 40 14 90","","5","2","new"
"Implantat klinikken AS","Tromsø","Storgata 124, 9008 Tromsø","77 66 10 20","http://www.implantatklinikken.no/","5","1","new"
"Tannlege Bjørn Jakobsen","Tromsø","Tromsø Tannlegesenter, Strandtorget 3, 9008 Tromsø","77 68 72 32","","1","1","new"
"Bai Tannhelseklinikken AS","Tromsø","Fiolvegen 12, 9016 Tromsø","45 00 82 60","","","","new"
"Tannlege Guro Møller AS","Tromsø","Skippergata 32, 9008 Tromsø","97 19 83 75","","","","new"
"Tannlege Auli Maria Takarautio","Tromsø","Strandskillet 5B, 9008 Tromsø","46 98 51 84","","","","new"
"MNTF Tannlege Camilla Bomstad","Tromsø","Strandtorget 3, 9008 Tromsø","77 68 18 60","","","","new"
"Tannlege Nikola Azanjac","Tromsø","Storgata 145, 9008 Tromsø","95 18 37 35","","","","new"
"Tannlege Linn Flatli AS","Tromsø","Skattøra 59, 9018 Tromsø","99 60 52 18","","","","new"
"Tannlege Tone Kuzmiszyn","Tromsø","Vestregata 28, 9008 Tromsø","","","","","new"
"Kari Mette Andersen","Tromsø","Strandskillet 5, 9008 Tromsø","92 22 99 01","","","","new"
"Tannlege Nils John Somby","Tromsø","Stallovegen 29, 9016 Tromsø","47 62 22 33","","","","new"
"Sarpsborg tannklinikk","Sarpsborg","Torget 4, 1707 Sarpsborg","69 11 77 00","https://ofk.no/tjenester/tannhelse/tannklinikker/","2.7","15","new"
"GrålumTannlegene i Sarpsborg","Sarpsborg","Vesterheimveien 2, 1712 Grålum","69 14 57 55","http://www.graalumtannlegene.no/","5","5","new"
"Tannlegene Prestegaard & Ådalen - Sarpsborg","Sarpsborg","Kirkegata 63, 1721 Sarpsborg","69 16 00 00","http://www.tannik.no/","5","5","new"
"Tannlege Kjetil Pedersen","Sarpsborg","St. Marie gate 60, 2. etg, 1706 Sarpsborg","69 14 50 05","http://www.tannlegepedersen.no/","5","10","new"
"Tannlegene Wevelstad","Sarpsborg","Korsgata 10A, 1723 Sarpsborg","69 12 02 05","http://www.wevelstad.no/","5","5","new"
"Clinident Tannlege Agnieszka Aleksandra Nordhagen","Sarpsborg","St. Marie gate 96-98, 1706 Sarpsborg","69 15 02 01","","5","9","new"
"Tannlege Godberg","Sarpsborg","Madam Arnesens vei 43, 1710 Sarpsborg","69 15 27 43","http://tannlegegodberg.no/","5","7","new"
"Tannlege Dilshad","Sarpsborg","St. Marie gate 60, 1706 Sarpsborg","","","5","4","new"
"Malin Ludvigsen","Sarpsborg","Dronningens gate 97, 1724 Sarpsborg","95 99 93 67","","5","3","new"
"Tannlege Veslemøy","Sarpsborg","Torget 6, 1707 Sarpsborg","69 12 15 60","https://www.tannlegerinorge.no/tannleger.asp?CMD=Fylke&Fylke=1&S=5","5","4","new"
"Tannlege Glenn Slette","Sarpsborg","Tamburveien 9, 1718 Greåker","69 87 74 44","https://tannlegeglennslette.no/","5","2","new"
"Tannlege Svein Thomas Halvorsen","Sarpsborg","Kirkegata 63, 1721 Sarpsborg","69 13 09 30","http://www.tryggtannbehandling.no/Om-oss/Tannleger-og-tannpleiere/Tannlege-Svein-Thomas-Halvorsen/","","","new"
"Siri Birgit Willersrud","Sarpsborg","Torget 2, 1707 Sarpsborg","69 15 30 67","","5","1","new"
"Magne Tannlege Kjelsberg","Sarpsborg","St. Marie gate 71, 1706 Sarpsborg","69 12 15 61","","","","new"
"Sarpsborg Dental AS","Sarpsborg","Torget 6, 1707 Sarpsborg","69 15 67 88","http://sarpsborgdental.no/","5","2","new"
"Turid Johanne Schille","Sarpsborg","Løkkeveien 1, 1710 Sarpsborg","69 14 18 32","","","","new"
"Storbyen Senter","Sarpsborg","Roald Amundsens gate 36, 1723 Sarpsborg","69 12 07 13","https://www.storbyen.no/","4.1","2516","new"
"Odd Arild Liholt","Sarpsborg","St. Marie gate 114, 1725 Sarpsborg","97 01 71 73","","","","new"
"Lars Resberg","Sarpsborg","St. Marie gate 60, 1706 Sarpsborg","69 14 50 05","","","","new"
"Fylkestannlegen i Østfold","Sarpsborg","Oscar Pedersens vei 39, 1706 Sarpsborg","69 11 70 00","","","","new"
"Dag Messel AS","Sarpsborg","Torget 3, 1707 Sarpsborg","69 15 32 84","","","","new"
"Øyvind Auensen","Sarpsborg","Batteriveien 7, 1727 Sarpsborg","69 14 90 31","","","","new"
"Jon Einar Gjerde","Sarpsborg","St. Marie gate 71, 1706 Sarpsborg","69 12 15 62","","","","new"
"Amin Homayouni","Sarpsborg","Bjørnstadtunet 7D, 1712 Grålum","95 96 15 71","","","","new"
"Storbyen tannklinikk 2","Sarpsborg","Stevneveien 9B, 1719 Greåker","45 95 52 68","","","","new"
"Tannlege Igland","Sarpsborg","Skogveien 8, 1890 Rakkestad","69 22 12 05","","5","10","new"
"Per Olaf Toftner","Sarpsborg","Korsgata 10A, 1723 Sarpsborg","48 24 18 52","","","","new"
"Skien Tannlegesenter & Skien Tannlegevakt","Skien","Ulefossvegen 48, 3730 Skien","90 83 17 88","http://www.skientannlegesenter.com/","4.9","72","new"
"Tannlege Britt Aarstad Kalve","Skien","Nedre Hjellegate 2, 3724 Skien","35 52 95 22","http://aarstadholler.no/","5","4","new"
"Hjellen 9 Tannklinikk","Skien","Nedre Hjellegate 9, 3724 Skien","35 52 30 39","http://www.hjellen9.no/","4.4","7","new"
"Hanna Kern Dental AS","Skien","Nyhusvegen 14, 3726 Skien","35 49 97 99","","4.4","7","new"
"Tannlege Marianne Erikssen","Skien","Cappelens gate 17, 3717 Skien","35 52 56 89","http://tannlege-erikssen.no/","5","7","new"
"Kirsten B Aanesen","Skien","Henrik Ibsens gate 6, 3724 Skien","35 52 04 69","","5","1","new"
"Moreau William Tannlege","Skien","Telemarksgata 12, 3724 Skien","35 51 96 04","","5","2","new"
"Carsten Aas","Skien","Snipetorpgata 7, 3715 Skien","92 03 61 01","","5","1","new"
"Tannlegene Otterstad","Skien","Storgata 118, 3921 Porsgrunn","35 93 03 60","http://tannlegeneotterstad.no/","4.9","350","new"
"Berntsen Tannlegesenter","Skien","Kverndalsgata 2A, 3717 Skien","35 52 20 60","","","","new"
"H&G Tannhelse med tannlege Hilde Ekholt Byrkjeflot","Skien","Nedre Hjellegate 9, 3724 Skien","35 52 07 01","","5","5","new"
"Lars Petter Røise","Skien","Henrik Ibsens gate 2, 3724 Skien","35 52 83 62","","5","1","new"
"Ståle Bentsen","Skien","Kverndalsgata 2A, 3717 Skien","41 40 00 85","","","","new"
"Tannlege Nima Tehrani","Skien","Cappelens gate, 3717 Skien","35 52 60 72","","","","new"
"Skien Oralkirurgiske klinikk AS","Skien","Telemarksgata 12, 3724 Skien","35 54 43 70","","4.5","6","new"
"Eilef Landsverk","Skien","Telemarksgata 12, 3724 Skien","35 51 96 03","","","","new"
"Tannlege Nils Jacob Erichsen","Skien","Nedre Hjellegate 2, 3724 Skien","35 52 95 22","","","","new"
"Are Westlie","Skien","Cappelens gate 6A, 3722 Skien","35 52 27 10","","","","new"
"Tannhelsetenesta, den Offentlege Spesialisttannklinikken Skien","Skien","Telemarksvegen 170, 3730 Skien","35 58 39 30","","","","new"
"Tannlege Coldevin AS","Ålesund","Spjelkavikvegen 5, 6011 Ålesund","70 14 02 37","","5","4","new"
"Hege Leikanger","Ålesund","Storgata 3, 3. etg, 6002 Ålesund","","","5","3","new"
"Tannlegene Granmo","Ålesund","Korsegata 8, 6002 Ålesund","70 12 56 22","http://www.tannlegenegranmo.no/","4","1","new"
"Tannlege Stanimir Kamenov - Skansen Tannlegekontor","Ålesund","Skaregata 3, 6002 Ålesund","99 49 22 39","","4.3","11","new"
"Tannlege Lena Godø","Ålesund","Langelandsvegen 35, 6010 Ålesund","70 27 02 00","","","","new"
"Skansen Tannlegekontor","Ålesund","Skaregata 3, 6002 Ålesund","99 49 22 39","","5","3","new"
"Dento2 As","Ålesund","Skansegata 20, 6002 Ålesund","70 11 44 99","","","","new"
"Fredrik Skodje","Ålesund","Vestre Hatlaåsen 27, 6016 Ålesund","94 20 48 91","","2.3","3","new"
"Tannlege Thomas Røn","Ålesund","Blindheimshaugen 9, 6012 Ålesund","70 14 18 55","","4.5","2","new"
"Geir Sæther Slettvoll","Ålesund","Langelandsvegen 17, 6010 Ålesund","70 15 26 40","","","","new"
"Skodje tannklinikk AS","Ålesund","Gnr 21 Bnr 95, 6260 Skodje","70 27 53 40","","4.8","19","new"
"Tannlege Kjetil Børre Ødegaard","Ålesund","Urabakken 23, 6017 Ålesund","90 69 80 93","","","","new"
"Tannlege Lars Lothe AS","Ålesund","Keiser Wilhelms g. 34, 6003 Ålesund","41 47 44 15","","","","new"
"Marianne Nødtvedt | Tannlege i Ålesund","Ålesund","Keiser Wilhelms g. 44, 6003 Ålesund","99 74 88 95","","","","new"
"Tannlege Marianne Nødtvedt","Ålesund","Langelandsvegen 17, 6010 Ålesund","70 15 26 40","","","","new"
"Tannlege Frode Frisvold","Ålesund","Kipervikgata 20, 6003 Ålesund","70 12 26 22","","","","new"
"Tannlege Forbord","Ålesund","Notenesgata, 6011 Ålesund","","","","","new"
"A C Heggholt","Ålesund","Keiser Wilhelms g. 44, 6003 Ålesund","70 12 22 94","","","","new"
"Are Kristofer Hjeltnes","Ålesund","Nedre Klasgarden 26, 6016 Ålesund","70 14 13 12","","","","new"
"Hallvard Nødtvedt","Ålesund","Vegsundbakken 9B, 6020 Ålesund","91 19 99 78","","","","new"
"Sjøholt Tannklinikk","Ålesund","Elling O. Wallbøes Veg 4, 6240 Ørskog","70 27 36 70","https://sjotann.no/","4.5","10","new"
"Jostein Strandman","Ålesund","Blindheimshaugen 9, 6012 Ålesund","70 14 18 55","","","","new"
"Torbjørn Breivik","Ålesund","Skaregata 3, 6002 Ålesund","70 12 12 21","","","","new"
"Intercare As","Ålesund","Kanalvegen 18, 6010 Ålesund","","","","","new"
"Jan Matre","Ålesund","Langelandsvegen 17, 6010 Ålesund","70 15 26 40","","","","new"
"Kari Sønderland","Ålesund","Ospedalsvegen 7, 6012 Ålesund","46 69 53 43","","","","new"
"Jan Inge Leira","Ålesund","Langelandsvegen 17, 6010 Ålesund","91 51 99 41","","","","new"
"Tannklinikken Skeie","Sandefjord","Storgata 1, 3210 Sandefjord","33 46 61 71","http://www.tannklinikken.no/?utm_source=gmb&utm_medium=organic&utm_campaign=&utm_term=klinikkside","4.5","35","new"
"Badeparken tannklinikk","Sandefjord","Jernbanealleen 13, 3210 Sandefjord","33 46 27 73","","4.3","333","new"
"Tannlege Lilly Dahlström AS","Sandefjord","Rådhusgata 14, 3211 Sandefjord","90 63 93 69","https://www.tannlegelillydahlstrom.no/","5","6","new"
"Kongensgate Tannklinikk AS","Sandefjord","Kongens gate 25, 3211 Sandefjord","33 46 22 45","http://kongensgate-tannklinikk.no/","4.8","4","new"
"Perio Tannklinikk AS","Sandefjord","Kilgata 9, 3217 Sandefjord","33 46 22 11","https://perioklinikken.com/","5","3","new"
"Tannlege Mehdi Darouei","Sandefjord","Jernbanealleen 13, 3210 Sandefjord","33 46 27 73","https://www.tannlegemehdidarouei.no/tannlege","5","1","new"
"Jens Petter Le Van Su","Sandefjord","Kilgata 5A, 3217 Sandefjord","45 48 43 25","","4.2","5","new"
"Sandefjord Tannregulering AS","Sandefjord","Kilgata 9, 3217 Sandefjord","33 46 34 40","http://www.sandefjordtannregulering.no/Kontakt/","4.7","24","new"
"Tannlege Marthe Angelsen","Sandefjord","Aagaards Plass 1, 3 etg, 3211, 3211 Sandefjord","33 44 60 30","https://www.1881.no/tannlege/tannlege-vestfold/tannlege-sandefjord/tannlege-marthe-angelsen_107284161S10/","","","new"
"Reidar Chr Øyen tannlege","Sandefjord","Thor Dahls gate 1, 3210 Sandefjord","33 46 35 65","http://www.tannlegeoyen.no/","4","7","new"
"Tannlege MNTF, spesialist i periodonti Bernt Johan Evensen","Sandefjord","Colosseum Tannlege Sandefjord, Thor Dahls gate 1, 3210 Sandefjord","33 46 52 18","","5","2","new"
"Kjeveortoped Ella Aasrum","Sandefjord","Kilgata 9, 3217 Sandefjord","33 46 34 40","","","","new"
"KariAnne Balstad Tannlege","Sandefjord","Torget 1A, 3210 Sandefjord","33 46 33 61","","","","new"
"Tannblekingsklinikken AS","Sandefjord","Jernbanealleen 33, 3210 Sandefjord","99 10 13 33","","","","new"
"Lise Serigstad","Sandefjord","Føykåsveien 8, 3213 Sandefjord","48 99 01 60","","","","new"
"Astrid Tannpleierpraksis Høgsand","Sandefjord","Dronningens gate 3, 3211 Sandefjord","33 46 84 48","","","","new"
"Henry Normann Nilsen","Sandefjord","Skiringssalveien 20, 3 etasje, 3208 Sandefjord","93 05 30 12","","","","new"
"Tannlege Vee i Haugesund","Haugesund","Spannavegen 152, 5535 Haugesund","52 71 31 80","http://www.tannlegenevee.no/","5","4","new"
"Tannlegene Lande/Tjessheim","Haugesund","Haraldsgata 159, 5527 Haugesund","52 72 24 87","","5","3","new"
"Klinikk 3 Tannleger","Haugesund","Karmsundgata 59B, 5531 Haugesund","52 01 08 60","https://www.k3t.no/","4.5","10","new"
"Tannlegekontoret Fides AS","Haugesund","Haraldsgata 90, 5528 Haugesund","52 71 20 18","","5","4","new"
"Tanngården Haugesund AS","Haugesund","Breidablikgata 121, 5527 Haugesund","52 72 41 97","http://tanngården.no/","5","1","new"
"Tannlegevakten Haugesund","Haugesund","Haraldsgata 139, 5527 Haugesund","90 12 96 00","","2.5","11","new"
"Anna Benedicte Pugerud Tannlege","Haugesund","Karmsundgata 59B, 5531 Haugesund","52 01 08 65","","4.5","2","new"
"Tannlege Fjære AS","Haugesund","Strandgata 152, 5527 Haugesund","52 72 34 27","","5","1","new"
"Tannlege Siv Storesund","Haugesund","Karmsundgata 59B, 5531 Haugesund","52 01 08 61","","5","2","new"
"Haugesund Tannmedisin","Haugesund","Skåregata 181, 5525 Haugesund","52 72 12 40","https://www.tannmed.no/","4.3","6","new"
"Haugesund","Haugesund","Strandgata 202, 5525 Haugesund","","","5","1","new"
"Signe Tannlege Storesund","Haugesund","Haraldsgata 183, 5525 Haugesund","52 01 08 80","","1.7","23","new"
"Bjarne Housken","Haugesund","Sørhauggata 111, 5527 Haugesund","52 71 10 00","http://tannsenteret.no/","","","new"
"Tannlege Sigmund Alsos","Haugesund","Møllervegen 9, 5525 Haugesund","52 72 30 71","https://www.tannlegealsos.no/","","","new"
"Victoriahjørnet","Haugesund","Haraldsgata 139, 5527 Haugesund","","","5","1","new"
"Gunnar Tannlege Amundsen","Haugesund","Strandgata 188, 5525 Haugesund","52 72 19 60","","","","new"
"Tannlege Karin Holmgard AS","Haugesund","Haraldsgata 183, 5525 Haugesund","52 71 11 00","","","","new"
"Medico tannlege Guido Stüttgen","Haugesund","Austbøvegen 7, 5542 Karmsund","52 82 22 22","","5","6","new"
"Tannlege Førland AS","Haugesund","Kirkegata 169, 5525 Haugesund","52 71 39 24","","","","new"
"Øyvind Ketil Haga","Haugesund","Nygårdsvegen 6, 5515 Haugesund","52 73 64 57","","","","new"
"Raili Randmer Olsen","Haugesund","Austmannavegen 11, 5537 Haugesund","52 72 38 43","","","","new"
"Tannlege Arnstein Arvesen Mntf","Haugesund","Strandgata 200, 5525 Haugesund","","","","","new"
"Tannlege Jouko Rytilahti","Haugesund","Karmsundgata 59B, 5531 Haugesund","52 01 08 63","","","","new"
"Tom Tannlege Trippestad","Haugesund","Strandgata 188, 5525 Haugesund","52 72 19 60","","","","new"
"Hekla Tannregulering AS","Haugesund","Austbøvegen 16, 5542 Karmsund","52 85 11 03","","2.6","14","new"
"Arne Bastholm","Haugesund","Flotmyrgata 100, 5528 Haugesund","52 71 33 95","","","","new"
"Aksdal Tannklinikk AS","Haugesund","Rådhusvegen 45, 5570 Aksdal","52 77 57 00","https://www.facebook.com/Aksdal-Tannklinikk-485675821575617/timeline/","4.5","15","new"
"Haugesund Medisinske Senter","Haugesund","Sørhauggata 111, 5527 Haugesund","52 70 39 00","http://www.haugesundmedisinske.no/","3.6","31","new"
"24/7-bygget","Haugesund","Spannavegen 152, 5535 Haugesund","","","4.6","52","new"
"Kjeveortoped","Haugesund","Ølengata 10, 5522 Haugesund","","","","","new"
"Svend Andreas Aasland","Haugesund","Haraldsgata 90, 5528 Haugesund","52 71 20 18","","","","new"
"Tønsberg Tannlegevakt","Tønsberg","Storgaten 27 B, 3126 Tønsberg","40 61 12 12","https://tonsbergtannlegevakt.no/","4.9","262","new"
"Tønsberg Tannclinique","Tønsberg","Storgaten 27B, 3126 Tønsberg","33 36 77 76","https://ttq.no/","5","1","new"
"Eik tannlegesenter","Tønsberg","Eikveien 47B, 3122 Tønsberg","33 31 16 68","https://eiktannlegesenter.no/","4.9","123","new"
"Frisk Tannhelse avd. Tønsberg sentrum","Tønsberg","Bulls gate 2b, 3112 Tønsberg","33 32 84 50","https://www.frisktannhelse.no/","5","3","new"
"Ditt Smil Tannhelse","Tønsberg","Halfdan Wilhelmsens alle 52, 3117 Tønsberg","33 31 13 90","http://dittsmiltannhelse.no/","5","5","new"
"Tønsberg Tannregulering AS","Tønsberg","Øvre Langgate 50, 3110 Tønsberg","33 31 55 66","http://tonsbergtannregulering.no/","4.8","22","new"
"Tannlege Hopen & Co AS","Tønsberg","Bulls gate 2B, 3110 Tønsberg","33 31 12 98","http://tannlegehopen.no/","5","2","new"
"Tannlege Aslak Kringlegarden","Tønsberg","Bulls gate 2B, 3110 Tønsberg","33 31 11 82","","5","1","new"
"Tannlege Rune Esbjørnsen","Tønsberg","Kammegaten 5, 3110 Tønsberg","33 31 41 95","","5","3","new"
"Tannlegene i Teiegården","Tønsberg","Rambergveien 3, 3115 Tønsberg","33 30 48 70","http://norveel.no/","5","1","new"
"Tannlege Einar Trægde Nørstebø AS","Tønsberg","Grev Wedels gate 10, 3111 Tønsberg","33 37 98 04","","5","1","new"
"Tommy Lønhøiden","Tønsberg","Fayes gate 5, 3110 Tønsberg","33 31 11 90","https://ovregate.no/ansatte/","5","1","new"
"Tannlege Thomas Arentz","Tønsberg","Bulls gate 2B, 3110 Tønsberg","33 31 31 90","https://tannlegearentz.no/","4.5","2","new"
"Tannlege Ellen Lier","Tønsberg","Møllegaten 4, 3111 Tønsberg","33 31 49 20","","5","2","new"
"Steinar Matre","Tønsberg","Anders Rørholts vei 2B, 3117 Tønsberg","33 31 24 42","","5","2","new"
"TANNLEGE KRISTIAN AANDAHL AS","Tønsberg","Øvre Langgate 50, 3110 Tønsberg","33 34 46 70","","","","new"
"Gisle Sverre Prøsch Tannlege","Tønsberg","Grev Wedels gate 10, 3111 Tønsberg","33 37 98 03","","","","new"
"Bjørn J Hansen AS","Tønsberg","Storgaten 33, 3126 Tønsberg","33 31 22 36","http://www.kjevekirurgen.no/","3.5","13","new"
"Ranveig Roberg","Tønsberg","Valløveien 56B, 3152 Tolvsrød","33 32 84 50","","5","1","new"
"Toppen Tannregulering","Tønsberg","St. Olavs gate 4, 3126 Tønsberg","33 31 14 55","http://www.toppentannregulering.no/","1","1","new"
"Tannlege Main Lisbeth Teien Dale","Tønsberg","Storgaten 39, 3126 Tønsberg","33 31 54 70","","","","new"
"Olav Eide","Tønsberg","Jens Müllers gate 1, 3110 Tønsberg","33 37 82 82","","","","new"
"Dentatec Dental AS","Tønsberg","Grev Wedels gate 10, 3111 Tønsberg","47 63 81 12","","","","new"
"Sigurd Sondresen","Tønsberg","Storgaten 38, 3126 Tønsberg","33 31 31 03","","","","new"
"Ole M Kulbraaten AS","Tønsberg","Jens Müllers gate 1, 3110 Tønsberg","33 37 82 82","","","","new"
"Eivind Andersen","Tønsberg","Jens Müllers gate 1, 3110 Tønsberg","33 37 82 82","","","","new"
"Tannlege Hai Hoang Nguyen","Moss","Lilleengveien 8, 1523 Moss","69 25 43 55","","5","10","new"
"Tannlege Jon-Audun Solem","Moss","Gudes gate 1A, 1530 Moss","69 20 54 10","https://solemogtrondsen.no/om-oss/","5","1","new"
"Tannlege Atle Trondsen","Moss","Gudes gate 1, 1530 Moss","69 25 26 05","https://tannlegetrondsen.no/","4","4","new"
"Tannlege Olav Johansen","Moss","Kransen 18, 1531 Moss","69 24 94 45","","5","6","new"
"Tannlege Morten Aanonsen","Moss","Th. Petersons gate 2, 1530 Moss","69 25 37 04","https://www.tannlege-aanonsen.no/","4.8","4","new"
"Tannlege Svendsen","Porsgrunn","Drangedalsvegen 2, 3920 Porsgrunn","35 55 08 00","http://tannlege-svendsen.no/","5","21","new"
"Tom Roger Arctander","Porsgrunn","Vestregata 12, 3919 Porsgrunn","35 55 33 39","","5","12","new"
"Zeyad Abdul-Hamid","Porsgrunn","Stangsgate 9, 3916 Porsgrunn","94 48 96 16","","4.7","24","new"
"Tannlege Augestad","Porsgrunn","Storgata 112, 3921 Porsgrunn","35 56 64 00","http://www.tannlegeaugestad.no/","5","5","new"
"Bjørn Hobæk","Porsgrunn","Stridsklev Ring 46, 3929 Porsgrunn","35 51 39 20","","5","3","new"
"Tannlege MNTF Magne Granmar","Porsgrunn","Olavsgate 10, 3916 Porsgrunn","35 55 67 40","","5","6","new"
"Tannlege Guri Sandnes","Porsgrunn","Olavsgate 10, 3916 Porsgrunn","35 55 17 03","https://www.helsesmart.no/klinikk/tannlege-guri-sandnes-8211/","5","1","new"
"Tannlege Hvaring","Porsgrunn","Storgata 174, 3915 Porsgrunn","35 55 54 00","http://tannlegehvaring.no/","4.5","8","new"
"Tannlege Anne Bugge-Paulsen","Porsgrunn","Storgata 146, 3915 Porsgrunn","35 55 79 69","","5","1","new"
"Tannlegene Schriwer og Thorkildsen","Porsgrunn","Storgata 146, 3916 Porsgrunn","35 55 22 50","","5","4","new"
"Gap Opp AS","Porsgrunn","Skolegata 6, 3916 Porsgrunn","35 55 22 16","","5","1","new"
"Beha Sport AS","Porsgrunn","Beha kvartalet, C. E. Berg-Hanssens gate 14, 3917 Porsgrunn","35 55 73 03","https://behasport.no/","4.2","887","new"
"THORKILDSEN ØDEGÅRD AS","Porsgrunn","Skolegata 2B, 3916 Porsgrunn","45 83 16 10","http://tannlegeoedegard.no/","","","new"
"Tannlege Anas Alhaydar","Porsgrunn","Storgata 146, 3915 Porsgrunn","","","","","new"
"Dento AS","Porsgrunn","Storgata 174, 3915 Porsgrunn","35 55 54 00","","","","new"
"Tannlege Morten Wesseltoft","Porsgrunn","Skolegata 6, 3916 Porsgrunn","35 55 22 16","","","","new"
"Tannlege Cecilie Borg Heyerdahl","Porsgrunn","Cochs gate 2, 3970 Langesund","91 91 80 82","https://www.tannlegececilieheyerdahl.no/","5","10","new"
"Tannlege Schriwer AS","Porsgrunn","Storgata 146, 3915 Porsgrunn","35 55 22 50","","","","new"
"Skein","Porsgrunn","Storgata 174A, 3915 Porsgrunn","","","","","new"
"Knut Sven Tubaas Tannlegen","Porsgrunn","Storgata 146, 3915 Porsgrunn","35 55 22 06","","","","new"
"Tannlege Even Eie Bjørvik AS","Porsgrunn","Sverdrupsgate 28, 3922 Porsgrunn","91 69 81 56","","","","new"
"Olav Strand","Porsgrunn","Steinringen 10, 3931 Porsgrunn","","","","","new"
"Tannlege Ragnhild Olsen AS","Porsgrunn","Storgata 23, 3950 Brevik","47 13 21 32","http://www.tannlegero.no/","5","5","new"
"Skomvær Dental AS","Porsgrunn","Storgata 112, 3901 Porsgrunn","35 55 62 40","","","","new"
"Jan Johansen","Porsgrunn","Heigata 8, 3920 Porsgrunn","94 15 10 80","","","","new"
"Lillegaard Tannklinikk","Bodø","Dronningens gate 28, 8006 Bodø","75 52 22 33","","4.7","31","new"
"Tannlege Tor Tegnander","Bodø","Tollbugata 10, 8006 Bodø","75 50 65 90","http://www.tanntor.no/","4.9","54","new"
"Tannlegegården Barth AS","Bodø","Hålogalandsgata 9, 8006 Bodø","93 47 20 00","http://www.tannlegegarden.no/","4.6","9","new"
"Tannlege Moen","Bodø","Storgata 3, 8006 Bodø","75 50 65 10","","5","1","new"
"Tannlege Rune Normann","Bodø","Sjøgata 21, 8006 Bodø","75 52 00 11","","","","new"
"Tannlege Thor Arne Sandjord","Bodø","Sjøgata 29-33, 8006 Bodø","75 50 64 40","","","","new"
"Tryggestad Tannklinikk","Bodø","Mølnbakken 88, 8050 Tverlandet","75 53 22 01","http://www.tryggestad-tannklinikk.no/","5","2","new"
"Tannlege Sigmund Olaf Kristiansen Kjeveortopedi AS","Bodø","Hålogalandsgata 40, 8004 Bodø","75 52 48 98","","","","new"
"Salten Tannhelsedistrikt","Bodø","Bankgata 24B, 8005 Bodø","75 65 19 41","","","","new"
"Bodø kretsfengsel Biklinikk","Bodø","Hålogalandsgata 91, 8007 Bodø","75 55 94 36","","","","new"
"Gruben Tannklinikk","Bodø","Storgata 35, 8006 Bodø","","","","","new"
"Tanntekniker","Bodø","Dronningens gate 28, 8006 Bodø","","","","","new"
"Tannlegene Solveig Lyngtveit Lindland og Elise Lyngtveit Lindland Møller","Arendal","Havnegaten 1, 4836 Arendal","37 02 30 11","","5","5","new"
"Tannlege Mette Hofstad","Arendal","Torvet 10, 4836 Arendal","37 02 55 22","","5","2","new"
"Tannlege Jon Egil T. Fiane","Arendal","Vestre gate 2, 2. etg, 4836 Arendal","37 02 48 45","https://tannlegefiane.no/","4.7","3","new"
"Tyholmen Tannlegesenter","Arendal","Teaterplassen 3, 4836 Arendal","37 02 29 40","http://www.tyholmen-tannlegesenter.no/","4.3","6","new"
