clinic,city,address,phone,website,rating,reviews,status
"Tannlege Bjelland & Co","Bergen","Torggaten 3, 5014 Bergen","55 31 98 66","https://tannlegebjelland.no/","5","266","new"
"Estetika Tannklinikk - Tannlege Bergen","Bergen","Svingen 17, 5161 Laksevåg","56 90 40 04","https://estetikatannklinikk.no/","4.9","250","new"
"TANNLEGE BAUGE AS","Bergen","Solheimsgaten 58, 5054 Bergen","55 59 59 65","https://tannlegebauge.no/","5","18","new"
"Kronstad Tannlegesenter","Bergen","Kanalveien 109, 5068 Bergen","55 29 47 11","http://tannlegeslettestol.no/","5","10","new"
"Tannlege Trond Grindheim","Bergen","Strandgaten 18, 5014 Bergen","55 23 23 99","","5","2","new"
"tannlegevakten privat","Bergen","Rådhusgaten 4, 5014 Bergen","92 91 97 07","https://www.tannlegevaktbergen-privat.no/","5","3","new"
"Arne Tannlege MNTF Fotland","Bergen","Strandgaten 197, 5004 Bergen","55 23 00 01","","5","4","new"
"Tannlege Njål Askeland","Bergen","Fageråsveien 2, 5067 Bergen","55 28 89 43","https://tannlegeaskeland.no/","5","12","new"
"Tim Szkobcov","Bergen","Rådhusgaten 4, 5014 Bergen","","http://kjeveortopedibergen.no/","4.6","13","new"
"Tannlege Anette Amundsen AS","Bergen","Nygårdsgaten 4, 5015 Bergen","45 87 83 00","http://www.tannlegeamundsen.no/","4.7","30","new"
"Tannlege Tyssekvam","Bergen","Starvhusgaten 2, 5014 Bergen","55 55 85 45","","5","6","new"
"Tannlegevakten","Bergen","Solheimsgaten 18, 5058 Bergen","55 31 03 10","","3.4","45","new"
"Tannlege i Bergen","Bergen","Strandkaien 16, 5013 Bergen","55 61 20 90","","","","new"
"Tannlege Tom R. Paulseth AS","Bergen","Strandgaten 5, 5013 Bergen","55 90 10 26","","5","2","new"
"Tannlege Arne Lund AS","Bergen","Strandgaten 5, 5013 Bergen","55 32 08 04","http://www.broegelmann.no/","5","3","new"
"Tannlege Kristoffer Øvstetun","Bergen","Markeveien 4C, 5012 Bergen","55 90 14 26","http://www.tannlege-ovstetun.no/","5","4","new"
"Tannlege Marianne Lægreid","Bergen","Strandgaten 5, 5013 Bergen","55 90 10 26","","5","1","new"
"Terje Mikkelsen Tannlege","Bergen","Torget 11, 5014 Bergen","55 31 67 22","","5","2","new"
"Tannlege Sturle Tvedt","Bergen","Strandgaten 18, 5013 Bergen","55 23 24 00","","5","4","new"
"Torbjørn Lem Gjesteland","Bergen","Dreggsallmenningen 10, 5003 Bergen","55 31 72 10","","5","1","new"
"Tannlege Tore Norderval AS","Bergen","Ulriksdal 1, 5009 Bergen","95 00 22 00","http://www.tannlegenorderval.no/","5","4","new"
"Tannlege Hans-Petter Hille","Bergen","Dreggsallmenningen 10, 5003 Bergen","55 32 85 78","http://dreggentann.no/","5","1","new"
"Tannlege Frida B. Forland","Bergen","Olav Kyrres gate 33, 5014 Bergen","55 31 66 61","http://www.tannlegeforland.no/","5","7","new"
"Bradbenken Dental | Tannlege Trine Aasen & Co","Bergen","Bradbenken 1, 5003 Bergen","55 23 34 20","https://www.bradbenkendental.no/","5","1","new"
"Nydal Birte Tannlege","Bergen","Fjæresmauet 6, 5017 Bergen","55 31 02 81","","5","1","new"
"Sletten Tannlegesenter","Bergen","Sletten Senter, Vilhelm Bjerknes' vei 4, 5081 Bergen","55 27 30 90","http://www.slettentannlegesenter.no/","5","3","new"
"Sammen Tannhelse","Bergen","Solheimsgaten 23, 5054 Bergen","55 54 52 63","https://www.sammen.no/no/bergen/helse/tannlege","2.6","13","new"
"Solheimsviken tannklinikk","Bergen","Solheimsgaten 18, 5058 Bergen","55 33 75 80","https://www.tannlegernorge.no/vestland/bergen/solheimsviken-tannklinikk/","2.6","34","new"
"Siren Skaale","Bergen","Tverrgaten 7, 5017 Bergen","55 32 51 87","","5","2","new"
"Tannlege Sverre Eldrup AS","Bergen","Strandgaten 5, 5013 Bergen","55 90 02 30","","5","4","new"
"Tannlege Mette Rogne","Bergen","Kong Oscars gate 43, 5017 Bergen","55 32 80 96","","5","5","new"
"Tellef Øy Tannlege","Bergen","Olav Kyrres gate 33, 5014 Bergen","55 31 58 86","https://tannlege-oy.no/","4.5","8","new"
"Tannlegesentralen avd Sentrum","Bergen","Komediebakken 9, 5010 Bergen","55 31 60 04","http://www.tannlegesentralen.no/","3.7","7","new"
"Truls S Vatne Tannlege (Fortunen)","Bergen","Fortunen 5, 5013 Bergen","55 90 11 29","","5","3","new"
"Tannklinikken Dent - Trondheim","Trondheim","Gjelvangveita 9, 7010 Trondheim","73 80 55 10","https://dent.as/","4.2","24","new"
